vendor_id,vendor_name,tax_id,city,phone,last_updated,source_system
ERP00270,Texarkana Capital Group L.L.C.,TX10-4799418,San Diego,(329) 480-5226,16-04-2025,ERP
ERP00271,Rosewood Capital LLC.,TX45-8516095,San Diego,(260) 321-9994,24-03-2025,ERP
ERP00272,Spokane Holdings corporation,TX52-3986994,New York,(706) 462-4645,05-03-2025,ERP
ERP00273,Dallas Capital Group LLC,TX56-3570376,Dallas,,12-11-2024,ERP
ERP00274,Interstate Co.mmerce Partners,TX11-7293394,New York,(503) 952-1652,08-07-2026,ERP
ERP00275,LIMESTONE RESOURCES CORP,,San Antonio,(247) 491-2114,14-04-2025,ERP
ERP00276,Servicemaster Holdings LLC.,TX28-3909130,Houston,(943) 693-1172,28-05-2025,ERP
ERP00277,verbena capital group inc,TX45-5210922,Dallas,(943) 708-6011,21-06-2026,ERP
ERP00278,XERISCAPE LANDSCAPING INC,TX80-3140760,Houston,(944) 930-9821,02-01-2026,ERP
ERP00279,Dusseldorf Resources llc,TX90-8926246,New York,(344) 786-7992,12-02-2026,ERP
ERP00280,Jacksonville Capital Grp,TX23-9834800,San Diego,,19-06-2026,ERP
ERP00281,Recife Trading Co.mpany Inc,TX10-5332721,Philadelphia,(415) 234-8019,29-01-2026,ERP
ERP00282,ZARA INDUSTRIAL SUPPLIES LLC.,TX64-6436750,San Diego,(269) 401-5154,15-10-2025,ERP
ERP00283,ZOYSIA RESOURCES LLC,TX89-2425312,Philadelphia,,27-03-2025,ERP
ERP00284,Yellowstone Environmental Grp.,TX31-9520859,Jacksonville,(286) 492-8309,14-10-2025,ERP
ERP00285,Crestline Holdings CORPoration,TX89-9900107,San Antonio,(840) 884-2447,17-10-2025,ERP
ERP00286,Ogden Capital Partners Inc,TX53-8261315,Chicago,(461) 493-7335,11-08-2025,ERP
ERP00287,LARIMER COUNTY RESOURCES LLC.,TX94-2128355,Dallas,,09-06-2025,ERP
ERP00288,Santos Holdings Corp L.L.C.,TX55-7203215,Philadelphia,(700) 430-1132,05-11-2024,ERP
ERP00289,Toulouse Holdings corp,TX65-3633491,Philadelphia,(479) 446-9732,11-07-2026,ERP
ERP00290,Yosemite Capital Partners,TX37-1067431,Chicago,(872) 276-4605,16-04-2026,ERP
ERP00291,Watershed Environmental Corp,TX37-7387584,Jacksonville,(954) 239-5493,16-01-2026,ERP
ERP00292,zinnia medical supplies inc,TX48-2825310,Jacksonville,(499) 711-6673,12-01-2026,ERP
ERP00293,anchorage capital grp llc,TX98-2489926,Jacksonville,(799) 237-3725,15-07-2026,ERP
ERP00294,Wroclaw Resources LLC,TX45-1872502,Jacksonville,(371) 340-6459,12-06-2025,ERP
ERP00295,CANCUN RESORT HOLDINGS INCORPORATED,TX82-4172918,Chicago,(289) 627-7836,15-12-2025,ERP
ERP00296,Osage Plains Agriculture LLC,TX76-7009580,Los Angeles,(469) 681-4867,05-07-2026,ERP
ERP00297,Uranium Energy Corporation LLC,TX98-7182899,San Antonio,(783) 543-5506,28-06-2025,ERP
ERP00298,BlueStar Manufacturing Inc.,TX21-1528806,Houston,(673) 763-3094,18-06-2025,ERP
ERP00299,Oakwood Healthcare Ptr.,,Houston,(861) 622-6494,24-01-2026,ERP
ERP00300,Salzburg Resources Corp,TX17-8301472,Houston,(491) 789-3739,10-01-2025,ERP
ERP00301,Juniper Networks Co.nsulting,TX27-5471645,Dallas,(545) 491-1965,22-02-2026,ERP
ERP00302,MOUNTAINVIEW SOFTWARE INC,TX59-6045732,Philadelphia,(854) 477-8978,24-07-2025,ERP
ERP00303,Ashland Chemical Company LLC,TX65-9021858,Jacksonville,(735) 637-6430,05-02-2026,ERP
ERP00304,Xenia Resources Corp llc,TX93-3240924,Dallas,(420) 887-5992,29-09-2024,ERP
ERP00305,prague holdings inc,TX27-6310667,Phoenix,(381) 684-2275,26-03-2026,ERP
ERP00306,Glencoe Capital Partners Incorporated,TX34-7210090,Dallas,(817) 485-3155,28-01-2025,ERP
ERP00307,Anchor Bay Shipping Company,TX80-4062862,Dallas,(573) 891-4389,07-10-2024,ERP
ERP00308,Denver Capital Partners INC,,Philadelphia,(653) 474-9840,12-04-2025,ERP
ERP00309,lemongrass holdings corp.,TX43-5816359,San Antonio,(402) 588-5000,26-05-2026,ERP
ERP00310,Peregrine Capital Group L.L.C.,TX13-3399477,Jacksonville,,21-06-2026,ERP
ERP00311,DYNAMO ELECTRIC SUPPLY CO,TX73-1603847,Chicago,(736) 712-3990,14-09-2025,ERP
ERP00312,Sagebrush Energy Partners Incorporated,TX78-6458686,Los Angeles,(712) 713-1304,16-01-2025,ERP
ERP00313,Beacon Hill Consultants LLC.,TX89-4606955,San Diego,(589) 832-4204,11-12-2025,ERP
ERP00314,northern plains agriculture,TX72-5038926,Dallas,(830) 518-4234,05-07-2026,ERP
ERP00315,Idaho Falls Capital Partners,TX72-8293259,Jacksonville,(437) 274-3450,09-09-2025,ERP
ERP00316,VALLETTA HOLDINGS CORP,TX34-8860870,Jacksonville,(885) 274-8759,18-06-2026,ERP
ERP00317,Firesteel Resources Incorporated,,Dallas,(649) 468-2657,30-12-2024,ERP
ERP00318,nightingale medical l.l.c.,TX89-6115468,San Antonio,(206) 353-4853,13-02-2025,ERP
ERP00319,XENON SCIENTIFIC LLC,TX95-9405718,Houston,(363) 811-5069,26-04-2025,ERP
ERP00320,EDINBURG CAPITAL PARTNERS L.L.C.,TX68-8837731,Dallas,(436) 735-2876,10-01-2025,ERP
ERP00321,YOKOHAMA TRADING CO.MPANY INC,TX92-8469443,Houston,(375) 915-7698,13-12-2025,ERP
ERP00322,Dockside Marine Supplies,TX10-5588203,San Antonio,(334) 418-3367,03-10-2025,ERP
ERP00323,YUCATAN HOLDINGS L.L.C,TX48-5690831,San Diego,,06-04-2025,ERP
ERP00324,geneva holdings corporationoration,TX37-5913743,Dallas,(366) 303-3988,26-04-2025,ERP
ERP00325,CHESTNUT HILL PROPERTIES INC,TX19-3097182,Jacksonville,(842) 772-7447,01-05-2026,ERP
ERP00326,Harborside Logistics GROUP,TX89-5229715,San Diego,(279) 485-8559,10-02-2026,ERP
ERP00327,Keystone Pipeline Svc.,TX49-8007241,San Antonio,(923) 334-4990,12-02-2026,ERP
ERP00328,Whitewater Consulting GROUP,TX23-5177399,New York,(562) 754-4125,25-01-2025,ERP
ERP00329,LEEDS INDUSTRIAL PARTNERS LLC,TX54-6274362,Dallas,(825) 799-5662,03-06-2025,ERP
ERP00330,yellowstone capital inc,TX86-1471921,Philadelphia,(710) 554-6411,18-03-2025,ERP
ERP00331,Falcon Ridge Systems INC,TX89-7211855,Los Angeles,(952) 688-8252,10-08-2025,ERP
ERP00332,BRECKENRIDGE SKI HOLDINGS INC.,,Chicago,(790) 935-8820,07-12-2025,ERP
ERP00333,Medellin Resources COrp,TX80-5244562,San Antonio,(226) 323-3913,28-10-2024,ERP
ERP00334,Durable Goods Manufacturing,TX82-8053414,San Diego,(947) 771-3401,26-04-2025,ERP
ERP00335,Southwestern Energy Ptr.,TX78-4547751,New York,(548) 206-8993,16-01-2025,ERP
ERP00336,Cornerstone Building Materials,TX66-2765842,Jacksonville,(881) 605-7815,27-07-2025,ERP
ERP00337,belfast marine hldg llc,,Philadelphia,,26-12-2024,ERP
ERP00338,Outback Mining Corporation,TX17-5118910,Dallas,(436) 584-6492,21-02-2025,ERP
ERP00339,Juniper Ridge Holdings Inc,TX20-6379777,Dallas,,02-02-2025,ERP
ERP00340,Jalisco Holdings Corporation,TX85-4272539,New York,(822) 433-5228,08-11-2024,ERP
ERP00341,Mulberry Street Holdings inc,TX92-3763535,Houston,(224) 752-1773,19-08-2025,ERP
ERP00342,Sunstone Hotel Management,TX88-1563157,Phoenix,(274) 424-3856,26-04-2026,ERP
ERP00343,Windward Islands Trading LLC.,TX58-6096119,New York,(671) 270-5504,28-08-2025,ERP
ERP00344,ABERDEEN INDUSTRIAL SERVICES,TX90-8313803,San Diego,(622) 903-2808,05-02-2025,ERP
ERP00345,Meridian Energy Resources LLC,TX52-5428541,Philadelphia,(996) 993-5863,10-09-2025,ERP
ERP00346,Highpoint Medical Center LLC,TX60-4082147,Jacksonville,(221) 667-3114,08-07-2025,ERP
ERP00347,FERNWOOD PAPER PRODUCTS LLC,TX97-2229990,Los Angeles,(532) 887-3469,16-03-2025,ERP
ERP00348,Valencia Holdings inc,TX68-3629776,Chicago,(746) 508-8278,21-08-2025,ERP
ERP00349,Uvalde Holdings CORPoration,TX52-5362191,Dallas,(301) 894-6090,08-12-2025,ERP
ERP00350,Yerevan Holdings corp LLC,TX58-1526484,Philadelphia,(337) 712-4410,07-04-2025,ERP
ERP00351,IRONBARK RESOURCES LLC,TX81-6707870,Dallas,(754) 572-3079,07-03-2025,ERP
ERP00352,Harbor View Logistics Incorporated,TX78-6469042,New York,(474) 725-8762,12-04-2026,ERP
ERP00353,queensbury manufacturing inc,TX80-6011037,Jacksonville,,11-05-2026,ERP
ERP00354,Nautical Systems Corporationoration,TX18-8370795,San Diego,(961) 622-3513,20-07-2026,ERP
ERP00355,Lakeview Capital Grp. LLC,TX84-6101717,Philadelphia,(390) 802-8539,09-07-2025,ERP
ERP00356,Xanthi Capital Group Inc,TX61-1275819,Houston,(543) 302-2698,02-05-2026,ERP
ERP00357,GALVESTON CAPITAL PARTNERS L.L.C.,TX12-4252572,Philadelphia,(746) 279-7510,11-08-2025,ERP
ERP00358,Falkirk Industrial Services L.L.C.,TX86-6453947,Jacksonville,(571) 318-2037,01-09-2025,ERP
ERP00359,Trident Marine corporation,TX46-1986166,Jacksonville,(673) 943-3791,10-12-2024,ERP
ERP00360,Glendale Capital Group inc,TX33-9355559,San Antonio,(526) 274-6416,13-01-2026,ERP
ERP00361,Stonewall Industries corp,TX56-2067807,Dallas,(781) 652-8276,15-03-2025,ERP
ERP00362,Hillside Medical Devices,TX71-6893762,Dallas,,19-06-2025,ERP
ERP00363,Nasturtium HOLDINGS Inc,TX79-5558910,Jacksonville,(506) 482-6925,06-12-2024,ERP
ERP00364,CLEARWATER PAPER CORPORATIONORATION,TX37-1509741,San Diego,(963) 559-9806,28-11-2025,ERP
ERP00365,sandstone energy resources,TX37-3138146,Los Angeles,,17-11-2024,ERP
ERP00366,CENTENNIAL RESOURCES COMPANYRP,TX41-8033010,Los Angeles,,18-05-2026,ERP
ERP00367,Mangrove Capital Partners llc,TX84-9452596,Houston,(868) 925-4853,22-01-2025,ERP
ERP00368,Fort Worth Resources Corporation,TX41-9120694,Philadelphia,(289) 677-6831,27-01-2025,ERP
ERP00369,Dusty Trail Transport LLC,TX31-5213634,Chicago,(832) 439-8813,07-03-2026,ERP
ERP00370,Quicken Financial Services LLC,,Phoenix,(834) 301-6168,03-07-2025,ERP
ERP00371,ELDERWOOD CAPITAL GROUP INC,TX40-9835971,Los Angeles,(806) 380-4388,01-12-2025,ERP
ERP00372,KELSO MARINE SERVICES LLC.,,Chicago,,08-06-2026,ERP
ERP00373,Armadillo Energy Svc. LLC,TX38-9407443,New York,(214) 301-4107,07-04-2026,ERP
ERP00374,FLATROCK ENERGY SVC LLC,TX34-3198096,Houston,(548) 316-6242,29-08-2025,ERP
ERP00375,WILDFIRE TECHNOLOGY SOLUTIONS,TX98-3763661,Philadelphia,(675) 298-6459,06-09-2025,ERP
ERP00376,Uplift Aviation Partners LLC,TX25-6650766,Dallas,,19-03-2026,ERP
ERP00377,Tacoma Resources Corp llc,TX88-9530491,Jacksonville,(273) 343-7868,20-02-2025,ERP
ERP00378,Odessa Hldg Corporation,TX71-2448709,Los Angeles,(953) 840-9809,30-09-2024,ERP
ERP00379,Thunderbird Aviation LLC,TX86-4705524,New York,(988) 724-4989,04-12-2024,ERP
ERP00380,titan aerospace components,,Philadelphia,,01-02-2025,ERP
ERP00381,Hawthorn Medical Devices Inc.,TX27-4800894,Dallas,(359) 892-9887,04-11-2025,ERP
ERP00382,GRAYSTONE FINANCIAL LLC,TX84-4594772,Houston,,13-09-2025,ERP
ERP00383,Harlingen Capital Grp LLC,TX32-4841784,New York,(835) 261-4287,12-08-2025,ERP
ERP00384,KEYSTONE DISTRIBUTION PTRS,TX69-8141657,San Diego,(271) 978-9705,05-03-2025,ERP
ERP00385,Orion Defense Co.ntractors Inc,TX49-5488395,Houston,(500) 891-7236,18-09-2025,ERP
ERP00386,Rawhide Energy SERVICES LLC,TX70-2760036,Houston,,30-11-2025,ERP
ERP00387,Tijuana Industrial Svc,TX54-4351944,Phoenix,(752) 712-8880,17-02-2025,ERP
ERP00388,Adirondack Resources Corporation,TX95-8236403,San Antonio,(397) 703-7361,08-12-2025,ERP
ERP00389,Kings County Farm Bureau,TX32-3339556,Philadelphia,(997) 651-3480,07-10-2025,ERP
ERP00390,oaxaca agricultural llc,TX81-7469835,Jacksonville,,02-12-2024,ERP
ERP00391,LARKSPUR BIOTECH CORPORATION,TX99-8182719,Philadelphia,(799) 292-3681,16-02-2025,ERP
ERP00392,Richardson Hldg Corp,TX49-2975995,Los Angeles,(223) 569-6447,03-01-2026,ERP
ERP00393,Nampa Resources corp LLC,TX28-1801923,Jacksonville,,21-06-2025,ERP
ERP00394,BREAKWATER MARINE INC,TX49-1626149,New York,(606) 983-5874,15-09-2025,ERP
ERP00395,Perth Resources Companyrporation,TX41-3431738,San Diego,,24-11-2025,ERP
ERP00396,Quicksilver Mining Corp,TX96-5473751,Phoenix,,05-06-2025,ERP
ERP00397,Warsaw Holdings INC,TX61-3894153,San Diego,,13-05-2025,ERP
ERP00398,Redbark Timber Products Inc,TX48-1863488,San Antonio,,27-10-2025,ERP
ERP00399,Abilene Capital Partners inc,TX22-9531441,Dallas,(956) 618-2215,24-07-2025,ERP
ERP00400,Rocky Mountain Oil Companympany,TX71-7310009,Los Angeles,(905) 417-2164,05-06-2026,ERP
ERP_HN001,Apex Logistics Corporation,TX18-7494260,Los Angeles,(285) 764-4810,12-03-2026,ERP
ERP_HN002,Global Packaging Solutions Inc,TX92-6718190,New York,(366) 844-2502,24-05-2026,ERP
ERP_HN003,Summit Construction Group,TX35-2909330,Chicago,(875) 447-8655,21-04-2026,ERP
ERP_HN004,Delta Industrial Supply Co,TX35-1182217,San Diego,(798) 499-8620,26-05-2026,ERP
ERP_HN005,United Metals Corporation,TX98-1311113,New York,(704) 271-1827,19-04-2026,ERP
