supplier_id,supplier_name,tax_id,city,email,last_updated,source_system
PROC00258,United Metals Corp.oration,,Houston,ap@unitedmetals.com,2026-07-23,PROCUREMENT
PROC00259,Nighthawk Oil and Gas Inc,,Dallas,ap@nighthawkoil.com,2026-06-24,PROCUREMENT
PROC00260,Zabar Food Distribution L.L.C.,TX25-4341058,Jacksonville,,2026-09-19,PROCUREMENT
PROC00261,Beaumont Holdings Corp L.L.C.,,Chicago,ap@beaumonthold.com,2026-09-12,PROCUREMENT
PROC00262,Kodiak Offshore Drilling,,Phoenix,ap@kodiakoffsho.com,2026-07-18,PROCUREMENT
PROC00263,Xanthus Capital Partners inc,TX98-3738003,San Antonio,,2026-07-29,PROCUREMENT
PROC00264,Midland Resources Inc.,TX43-3213530,New York,,2026-07-18,PROCUREMENT
PROC00265,Vancouver Holdings CORP LLC,TX53-1932646,San Diego,ap@vancouverhol.com,2026-08-18,PROCUREMENT
PROC00266,FRANKFURT CAPITAL GRPL LLC,TX27-4849415,New York,ap@frankfurtcap.com,2026-07-28,PROCUREMENT
PROC00267,Venture Capital Group INC,,Chicago,,2026-06-24,PROCUREMENT
PROC00268,Iquique Maritime Services Inc,,San Diego,ap@iquiquemarit.com,2026-06-28,PROCUREMENT
PROC00269,Glasgow   Capital Grp. Inc,TX98-6805495,Dallas,ap@glasgowcapit.com,2026-08-04,PROCUREMENT
PROC00270,Texarkana Capital Grp.   LLC,TX75-1671583,San Diego,ap@texarkanacap.com,2026-08-05,PROCUREMENT
PROC00271,Rosewood Capitat L.L.C,,San Diego,ap@rosewoodcapi.com,2026-08-28,PROCUREMENT
PROC00272,Spokane Holdings corporation,TX55-6743279,New York,ap@spokaneholdi.com,2026-08-09,PROCUREMENT
PROC00273,Dallas Capital Group LLC,TX80-2427127,Dallas,ap@dallascapita.com,2026-09-03,PROCUREMENT
PROC00274,Interstate COmmerce Partners,TX40-9695679,New York,,2026-07-23,PROCUREMENT
PROC00275,Limestone Resources Corp.,,San Antonio,ap@limestoneres.com,2026-07-21,PROCUREMENT
PROC00276,Servicemaster   Holdings LLC,,Houston,ap@servicemaste.com,2026-08-27,PROCUREMENT
PROC00277,Verbena Capital Grp. Inc,TX32-2307139,Dallas,ap@verbenacapit.com,2026-08-11,PROCUREMENT
PROC00278,Xeriscape Landscaping inc,TX54-9991049,Houston,ap@xeriscapelan.com,2026-08-05,PROCUREMENT
PROC00279,Dusseldorf Resources L.L.C.,,New York,,2026-09-09,PROCUREMENT
PROC00280,Jacksonville Capital   Grp,TX32-6533953,San Diego,ap@jacksonville.com,2026-07-29,PROCUREMENT
PROC00281,Recife Trading Company Incorporated,,Philadelphia,,2026-08-23,PROCUREMENT
PROC00282,Zara Industrial Supplies llc,TX99-5547639,San Diego,,2026-08-02,PROCUREMENT
PROC00283,Zoysia Resources LLC,TX66-4557566,Philadelphia,ap@zoysiaresour.com,2026-07-31,PROCUREMENT
PROC00284,Yellowstone Environmental Group,TX48-9386720,Jacksonville,ap@yellowstonee.com,2026-08-21,PROCUREMENT
PROC00285,Crestline Holdings corporation,TX46-9239836,San Antonio,ap@crestlinehol.com,2026-08-04,PROCUREMENT
PROC00286,Ogden Capital   Partners INC,TX45-5193704,Chicago,ap@ogdencapital.com,2026-07-25,PROCUREMENT
PROC00287,  Larimer County Resources LLC,TX38-4210304,Dallas,ap@larimercount.com,2026-08-26,PROCUREMENT
PROC00288,Santos Holdings CORm LLC,,Philadelphia,,2026-07-13,PROCUREMENT
PROC00289,Toulouse   Holdings Corp.,TX22-8291161,Philadelphia,,2026-06-22,PROCUREMENT
PROC00290,nosemite Capital Partners,TX80-8428067,Chicago,ap@yosemitecapi.com,2026-07-15,PROCUREMENT
PROC00291,Watershed Environmental Companyrp,TX41-4400052,Jacksonville,ap@watershedenv.com,2026-07-14,PROCUREMENT
PROC00292,Zinnia Medical Supplies INC,TX36-8034330,Jacksonville,ap@zinniamedica.com,2026-07-10,PROCUREMENT
PROC00293,Anchorage Capital Group llc,TX72-8641466,Jacksonville,ap@anchoragecap.com,2026-07-07,PROCUREMENT
PROC00294,Wroclaw Resources L.L.C,TX23-8506642,Jacksonville,,2026-07-06,PROCUREMENT
PROC00295,Cancun Resort Holdings Inc.,,Chicago,ap@cancunresort.com,2026-07-13,PROCUREMENT
PROC00296,OSAGE PLAINS AGRICULTURE LLC,TX38-7353137,Los Angeles,ap@osageplainsa.com,2026-09-09,PROCUREMENT
PROC00297,  Uranium Energy Corp llc,TX66-1447925,San Antonio,ap@uraniumenerg.com,2026-09-03,PROCUREMENT
PROC00298,BlueStar Manufacturing Inc,TX62-8905211,Houston,,2026-09-10,PROCUREMENT
PROC00299,Oakwood Healthcare PARTNERS,,Houston,ap@oakwoodhealt.com,2026-07-30,PROCUREMENT
PROC00300,Salzbury Resources Corp.,TX88-6269768,Houston,ap@salzburgreso.com,2026-09-04,PROCUREMENT
PROC00301,Kilmarnock Services INC,TX17-8580482,Chicago,ap@kilmarnockse.com,2026-06-26,PROCUREMENT
PROC00302,Birchwood   Properties Inc,,Los Angeles,,2026-07-25,PROCUREMENT
PROC00303,Thornberry Capital Grp,TX73-8146563,Phoenix,ap@thornberryca.com,2026-07-26,PROCUREMENT
PROC00304,Jade Softwaie Co.nsulting Inc,TX44-2925872,Phoenix,ap@jadesoftware.com,2026-07-18,PROCUREMENT
PROC00305,Jerusalem Holdings Incorporated LLC,,San Antonio,,2026-08-02,PROCUREMENT
PROC00306,San Antonio Resources Inc,TX57-7669730,New York,,2026-07-31,PROCUREMENT
PROC00307,Gateway Medical Supplies LLC,,Philadelphia,ap@gatewaymedic.com,2026-07-30,PROCUREMENT
PROC00308,  XERXES INDUSTRIAL L.L.C.,TX52-6848921,Los Angeles,ap@xerxesindust.com,2026-08-23,PROCUREMENT
PROC00309,Corpus Christi Resources,,Los Angeles,ap@corpuschrist.com,2026-08-16,PROCUREMENT
PROC00310,Whitecap Resources Corporation,TX80-5267240,San Diego,ap@whitecapreso.com,2026-07-17,PROCUREMENT
PROC00311,Bluegrass Capital Partners Inc.,,Phoenix,ap@bluegrasscap.com,2026-07-01,PROCUREMENT
PROC00312,Driftwood Energy Partners llc,,San Diego,,2026-08-18,PROCUREMENT
PROC00313,Longview Holdings Corp LLC,,Chicago,,2026-09-12,PROCUREMENT
PROC00314,Underwood Paper Products L.L.C.,TX24-5070684,Los Angeles,ap@underwoodpap.com,2026-07-25,PROCUREMENT
PROC00315,Krakow Industrial Services,TX16-3308796,Houston,ap@krakowindust.com,2026-07-01,PROCUREMENT
PROC_HN001,Apex Logistic Systems LLC,TX35-1020247,San Diego,,2026-08-03,PROCUREMENT
PROC_HN002,Global Package Services Inc,TX63-9904842,Dallas,,2026-08-25,PROCUREMENT
PROC_HN003,Summit Constructors LLC,TX14-6780436,San Diego,,2026-09-04,PROCUREMENT
PROC_HN004,Delta Industries Supply LLC,TX70-4685549,Philadelphia,,2026-08-12,PROCUREMENT
PROC_HN005,United Metal Works Corp,TX89-1051522,Chicago,,2026-08-09,PROCUREMENT
